ID,Is_Lead
VBENBARO,0.04779824706861911
CCMEWNKY,0.8675341049281349
VK3KGA9M,0.04880090738283324
TT8RPZVC,0.023969021454833508
SHQZEYTZ,0.02308167368454199
MZZAQMPT,0.08217914176093519
Y88TW36I,0.08573727869294166
3UGOAQNU,0.05291972065479945
VVUKMUJT,0.9899461996799916
9R363ZXS,0.16259035966209068
BLISM6JE,0.052469033671512455
CH8S7JK7,0.24800310016841562
EAHDPXEJ,0.8479199636571451
BNUK9PRF,0.33457826320298956
GP2PG6FJ,0.05437262449844751
WNQCSN8A,0.03707887817811939
32DN4YVZ,0.44810927360795255
GXAMDANM,0.051480423745674
MXETLUP4,0.06820184621887299
MPXK6TVE,0.8307095358031007
LBSIME2K,0.16103902651346436
D6ORJTM6,0.049824530348853965
HGDIBAKA,0.811614182070501
UUZYL9DZ,0.4216974974785494
AUGE3VWK,0.04625380847519443
MX7GOX6Q,0.0920926428892593
TQN6K35W,0.06011827806762146
QQDRMQQN,0.49828285722536975
UP6GC6F4,0.04510032476865969
BMHBUVHB,0.6055360411251944
KGLDW86A,0.16013522619321366
FQEOMOP4,0.12251044652275875
DYWM5MEU,0.1758455419072022
DXHGXV8F,0.0524748338512003
AVFBFQKC,0.18672508714572777
DBIDKYMV,0.1382812763257699
KYZHMEBY,0.2205796404221699
SSFEBUGF,0.05101716682097644
MGJTAG8X,0.46665310636295865
MP6BERDO,0.16656839915319738
GXZ8ED68,0.05265847790231057
ICTFGWQR,0.6628586385770043
EAYHTRKH,0.025156761323283698
6FN97QLQ,0.10711861367648196
3H5MZDDW,0.32862067339407297
2DXZZWSN,0.03825479391848475
MM4QIRE5,0.07973629916888046
HJWVYXUA,0.16382592463157508
RBRSJUP3,0.8207537397877286
YFRQKGXW,0.4207556554606071
N3SADEBV,0.05928558867897207
G2A2YYXY,0.03838630775052726
XMGA3WT3,0.05856432301828011
KVZQPSGI,0.16225850769521552
UAKARBBG,0.043989828900468333
WYKKL85Z,0.22424293659127176
GHNYYGRR,0.1038882227256666
UBAJANWT,0.05249886631981247
LSARSF7U,0.020893763271704436
4CNSJVVR,0.23567861843956364
JRHJSWYO,0.34555824336714197
FHZ8SVVI,0.07126227647877731
JUIRE47M,0.877935109368988
GDIVN2GL,0.059316905817732433
WMF3DYE3,0.8078939872294251
MAQEHEWK,0.17102933861166214
2W8DLKFU,0.05668950646720654
AKGRML6H,0.10920403745618662
B7WUUGCY,0.04501729475267561
TLJOYATM,0.43351198682197406
UH6ZDM3W,0.8859471226039561
7IP5SSRR,0.7831655709622283
PV85PMEB,0.49514577888973554
FGDOY4NI,0.11272182977769057
7YYIXJQE,0.058321266312524454
BHW42XPW,0.05607049694845227
3PKEEAT4,0.3029363460517633
ACFPZ3LM,0.05321819126441691
6GORGNYN,0.8199812745980797
AEPQTMJK,0.26786322357046854
S6FNZFKK,0.05017998274589499
JTYNEKRQ,0.6873497538971213
GPXDPHHC,0.05688912282416343
O8TMKNNB,0.05067691827102726
XSQVHKYG,0.05317579576807556
MJ3CZRAE,0.021998364732337537
3NSQEYBJ,0.42056140065792924
SXVBASGH,0.05118182111935841
5ZIGZYSS,0.04372367566781468
FQSHBCUT,0.3326202731465697
MU45XUBP,0.054612706200244006
BVULDPBI,0.06540575597977691
82GRNPFG,0.8201522785626354
KKBNELBF,0.04275750197930987
HXQGBDGY,0.05130287997663394
28HDZICG,0.5551013397037149
GHBPKPJC,0.051131468439528524
FDWZFSSC,0.8443006127478109
FWTIWZF3,0.05112884954768302
JYMHVPMY,0.03214404021144793
AHUDO2T6,0.8344373846164919
ACDHABS3,0.30013710400102833
5NTYJJDV,0.07009171993022739
2M4VPY4V,0.09706046224048731
KAHP9XLF,0.07816470815835302
YRLEWZFQ,0.11081420143353733
JZWVLXHJ,0.16464729649956172
JZZSXUKT,0.28235711695514787
93RURE2J,0.8528348192621965
4RNB6FDV,0.27012861531467175
27E7HMMG,0.0921017112995301
2QEFQQWN,0.051831987941079516
DDTCD2XI,0.07902434220597487
VGVEYSEG,0.8183536994158831
WCXVE7RK,0.04932556760448101
RTN4R3UE,0.04005073110471564
K2PVS4RB,0.0513076723896035
Q36J686Z,0.09367735620565179
NWKHMEOF,0.14307365967339816
PVJYQQGT,0.2816370497990279
GPUMRNWC,0.05220510533673188
LXHCDSVH,0.16621245529229517
BNIUPSVK,0.07857251156707507
FW3QI3WW,0.07909374163879823
IEEUGXMY,0.8638622074838802
FVVXDLBO,0.055736373631617764
UC2JJB6Y,0.07926552830611955
3WPAHP52,0.49822639742587854
HDTCJJOE,0.5297386872165041
UCSB9GKK,0.06565793279917817
HANBFYTH,0.12113501002133054
FLUU2HNV,0.05212403135083388
64PIYWDJ,0.191267575587573
9AHNH8ZX,0.8615820010446681
KLHUI2SE,0.06485359733981352
YRHYUJFW,0.8375774148964361
G5RWWH7F,0.16401518683425964
